"
                Luxury Apt. in Prime Williamsburg
              ",131,"
    Entire home/flat · 3 reviews · Brooklyn

"
"
                HUGE room/ Williamsburg Waterfront!
              ",59,"
    Private room · 50 reviews · Williamsburg, Brooklyn

"
"
                Bargain Room #1 - Special Low Price
              ",45,"
    Private room · 1 review · Brooklyn

"
"
                Prospect Park. Bikes. Garden.Trendy
              ",43,"
    Private room · 5 reviews · Brooklyn

"
"
                Private brownstone studio Brooklyn
              ",92,"
    Entire home/flat · 29 reviews · Brooklyn

"
"
                Studio Apt in Park Slope- Brooklyn!
              ",66,"
    Entire home/flat · 13 reviews · Greenwood Heights, Brooklyn

"
"
                Sun filled 2BR in BedStuy Townhouse
              ",82,"
    Entire home/flat · 27 reviews · Bedford-Stuyvesant, Brooklyn

"
"
                Cozy charm near Prospect Park
              ",62,"
    Entire home/flat · Brooklyn

"
"
                Colorful, quiet, & near the subway!
              ",59,"
    Private room · 48 reviews · Boerum Hill, Brooklyn

"
"
                NEW! Airy 2 Bedroom Brownstone
              ",72,"
    Entire home/flat · 7 reviews · Brooklyn

"
"
                Quaint Studio, Fort Green, Brooklyn
              ",99,"
    Entire home/flat · Brooklyn

"
"
                Big BR in W'Burg - pvt terrace/view
              ",65,"
    Private room · 23 reviews · Williamsburg, Brooklyn

"
"
                Authentic Artist Loft in Brooklyn
              ",197,"
    Entire home/flat · 1 review · Brooklyn

"
"
                Entire studio apartment!
              ",76,"
    Entire home/flat · 21 reviews · Brooklyn

"
"
                The Library Loft- The Green Room 
              ",32,"
    Private room · 1 review · Brooklyn

"
"
                Lovely Spacious Private Room
              ",56,"
    Private room · 4 reviews · Brooklyn

"
"
                Huge Loft in Prime Williamsburg!
              ",72,"
    Private room · 8 reviews · Brooklyn

"
"
                Huge Brooklyn Loft w/Deck, NYC View
              ",43,"
    Private room · 34 reviews · Clinton Hill, Brooklyn

"
